Date of Contract;Municipality Name;Zone Name;Real Estate Type;Area in Square Meters;Price per Square Foot;Real Estate Value
2020-06-29;Al Rayyan;Bu Sidra;Residence;1;356.289;4000000
2020-06-29;Al Shamal;Al Ruwais;Vacant Land;525;131.833;745000
2020-06-28;Al Khor and Al Dakhira;Al Khor;Residence;568;261.697;1600000
2020-06-28;Al Daayen;Jeryan Jenaihat;Vacant Land;7;231.106;18600000
2020-06-28;Umm Slal;Al Kharaitiyat;Residence;743;375.11;3000000
2020-06-28;Al Khor and Al Dakhira;Al Dakhira;Residence;536;303.319;1750000
2020-06-28;Doha;Al Thumama;Vacant Land;546;289.256;1700000
2020-06-28;Doha;Rawdat Al Khail;Residential Building;1;1167.082;19170334
2020-06-28;Al Rayyan;Bu Hamour;Residence;652;648.321;4550000
2020-06-28;Al Shamal;Al Ruwais;Vacant Land;435;128.141;600000
2020-06-28;Al Shamal;Madinat Al Shamal;Residence;1;259.56;3850000
2020-06-28;Al Wakrah;Al Wukair;Vacant Land;480;280.642;1450000
2020-06-28;Umm Slal;Al Kharaitiyat;Residence;504;700.454;3800000
2020-06-28;Al Khor and Al Dakhira;Al Dakhira;Residence;606;234.94;1532508
2020-06-28;Doha;Al Messila;Residence;903;823.054;8000000
2020-06-28;Al Daayen;Simaisma;Residence;420;420.272;1900000
2020-06-28;Al Wakrah;Al Wukair;Vacant Land;1;220.601;2650000
2020-06-25;Doha;Al Messila;Residential Building;900;753.541;7300000
2020-06-25;Al Rayyan;New Al Rayyan;Residence;840;362.063;3273684
2020-06-25;Al Rayyan;Bu Hamour;Vacant Land;650;357.316;2500000
2020-06-25;Al Rayyan;Muaither;Residence;913;274.738;2700000
2020-06-25;Al Rayyan;Muaither;Residence;598;466.065;3000000
2020-06-25;Al Daayen;Al Kheesa;Residence;492;472.064;2500000
2020-06-25;Umm Slal;Umm Slal Ali;Vacant Land;540;175.179;1018241
2020-06-25;Umm Slal;Umm Slal Muhammed;Vacant Land;551;210.005;1245533
2020-06-25;Al Khor and Al Dakhira;Al Dakhira;Residence;1018;257.06;2816801
2020-06-25;Doha;Fereej Al Aseeri;Residence;1112;392.662;4700000
2020-06-25;Al Rayyan;Bu Hamour;Vacant Land;639;363.467;2500000
2020-06-25;Al Daayen;Al Ebb;Vacant Land;540;320;1860019
2020-06-25;Al Daayen;Umm Qarn;Vacant Land;2064;247.559;5500000
2020-06-25;Al Wakrah;Al Wakrah;Residence;450;206.449;1000000
2020-06-25;Al Khor and Al Dakhira;Al Khor;Vacant Land;600;278.707;1800000
2020-06-25;Doha;Al Thumama;Vacant Land;540;240.858;1400000
2020-06-25;Doha;Rawdat Al Khail;Residential Building;646;1294.304;9000000
2020-06-25;Al Rayyan;Bu Hamour;Vacant Land;655;354.589;2500000
2020-06-25;Al Rayyan;Ain Khalid;Residence;452;493.286;2400000
2020-06-25;Al Daayen;Al Kheesa;Residence;595;390.346;2500000
2020-06-25;Al Daayen;Al Kheesa;Residence;597;389.038;2500000
2020-06-25;Al Daayen;Al Ebb;Vacant Land;540;344.082;2000000
2020-06-25;Al Daayen;Umm Qarn;Vacant Land;2201;253.255;6000000
2020-06-24;Umm Slal;Umm Al Amad;Vacant Land;408;432.633;1900000
2020-06-24;Umm Slal;Jeryan Jenaihat;Residence;588;473.991;3000000
2020-06-24;Al Daayen;Umm Qarn;Vacant Land;407;228.277;1000070
2020-06-24;Doha;Al Thumama;Residence;1250;397.622;5350000
2020-06-24;Al Wakrah;Al Wukair;Vacant Land;450;200.005;968783
2020-06-24;Al Wakrah;Al Wukair;Residence;464;300.331;1500000
2020-06-24;Al Rayyan;Al Gharrafa;Residence;912;305.6;3000000
2020-06-24;Al Rayyan;Al Mearad;Residence;1200;212.901;2750000
2020-06-24;Al Daayen;Umm Qarn;Vacant Land;422;220.163;1000070
2020-06-24;Doha;Al Thumama;Vacant Land;563;289.928;1757000
2020-06-24;Doha;Al Thumama;Vacant Land;583;279.982;1757000
2020-06-23;Umm Slal;Umm Ebairiya;Residence;375;483.092;1950000
2020-06-23;Al Rayyan;Al Gharrafa;Residence;575;484.707;3000000
2020-06-23;Al Shamal;Al Ruwais;Vacant Land;614;124.999;826130
2020-06-23;Al Daayen;Umm Qarn;Vacant Land;371;192.505;768756
2020-06-23;Doha;Al Thumama;Vacant Land;564;296.497;1800000
2020-06-23;Doha;Al Thumama;Residence;450;412.899;2000000
2020-06-23;Doha;Madinat Khalifa South;Residence;390;714.633;3000000
2020-06-23;Al Daayen;Umm Qarn;Residence;553;338.01;2012000
2020-06-23;Doha;Al Thumama;Vacant Land;540;299.868;1743000
2020-06-23;Al Daayen;Jeryan Jenaihat;Vacant Land;724;231.006;1800260
2020-06-23;Al Wakrah;Al Wukair;Residence;600;433.544;2800000
2020-06-22;Doha;Al Doha Al Jadeedah;Vacant Land;223;791.544;1900000
2020-06-22;Al Shamal;Al Ruwais;Vacant Land;525;123.87;700000
2020-06-22;Al Shamal;Aba Al Dalouf;Vacant Land;1160;130.544;1630000
2020-06-22;Al Sheehaniya;Al Sheehaniya;Residence;655;124.201;875000
2020-06-22;Al Wakrah;Al Wukair;Vacant Land;750;249.969;2018000
2020-06-22;Al Khor and Al Dakhira;Al Khor;Vacant Land;3110;220.006;7364915
2020-06-22;Al Khor and Al Dakhira;Al Khor;Residence;615;264.356;1750000
2020-06-22;Al Khor and Al Dakhira;Al Khor;Residence;616;263.927;1750000
2020-06-22;Al Khor and Al Dakhira;Al Khor;Residence;520;300.146;1680000
2020-06-22;Doha;Al Thumama;Vacant Land;1;275.867;3400000
2020-06-21;Doha;Fereej Al Aseeri;Residence;803;469.949;4062000
2020-06-21;Al Daayen;Jeryan Jenaihat;Vacant Land;542;334.928;1954000
2020-06-21;Al Daayen;Jeryan Jenaihat;Vacant Land;543;325.072;1900000
2020-06-21;Al Daayen;Simaisma;Residence;833;215.605;1933205
2020-06-21;Al Wakrah;Al Wakrah;Residence;640;327.062;2253117
2020-06-21;Al Wakrah;Al Wukair;Vacant Land;538;266.446;1543000
2020-06-21;Al Khor and Al Dakhira;Al Khor;Vacant Land;1108;218.002;2600000
2020-06-21;Doha;Al Thumama;Vacant Land;540;292.47;1700000
2020-06-21;Doha;Al Thumama;Vacant Land;571;276.592;1700000
2020-06-21;Doha;Al Jebailat;Vacant Land;683;677.112;4978000
2020-06-21;Al Shamal;Al Ruwais;Vacant Land;636;130.005;890000
2020-06-21;Al Daayen;Al Sakhama;Vacant Land;600;259.972;1679000
2020-06-21;Al Daayen;Jeryan Jenaihat;Vacant Land;2102;308.008;6968963
2020-06-21;Doha;Al Thumama;Vacant Land;557;283.544;1700000
2020-06-21;Doha;Najma;Residence;109;852.314;1000000
2020-06-21;Al Rayyan;Ain Khalid;Vacant Land;420;597.229;2700000
2020-06-21;Al Daayen;Umm Qarn;Residence;553;391.433;2330000
2020-06-21;Al Daayen;Jeryan Jenaihat;Vacant Land;543;333.627;1950000
2020-06-18;Umm Slal;Umm Ebairiya;Vacant Land;375;297.287;1200000
2020-06-18;Doha;Legtaifiya;Residential Building;3;649.758;22716512
2020-06-18;Al Daayen;Umm Qarn;Residence;365;318.158;1250000
2020-06-18;Doha;New Slata;Residential Building;695;401.017;3000000
2020-06-18;Doha;New Slata;Residential Building;697;399.866;3000000
2020-06-18;Doha;New Slata;Residential Building;724;384.954;3000000
2020-06-18;Doha;Al Thumama;Vacant Land;540;283.868;1650000
2020-06-18;Al Daayen;Al Ebb;Vacant Land;1353;308.851;4497542
2020-06-18;Doha;Umm Lekhba;Vacant Land;275;321.52;950000
2020-06-18;Doha;Nuaija;Residence;1;365.757;4000000
2020-06-18;Al Rayyan;Umm Al Senaim;Vacant Land;609;346.286;2270000
2020-06-18;Al Daayen;Umm Qarn;Residence;402;323.54;1400000
2020-06-18;Al Wakrah;Al Wakrah;Vacant Land;960;299.997;3100000
2020-06-18;Doha;Umm Lekhba;Residence;420;564.049;2550000
2020-06-17;Al Khor and Al Dakhira;Al Khor;Vacant Land;585;220.006;1385362
2020-06-17;Al Rayyan;Izghawa;Vacant Land;1;368.294;4000000
2020-06-17;Al Rayyan;Izghawa;Vacant Land;1;312.014;4000000
2020-06-17;Al Rayyan;Izghawa;Vacant Land;1;333.116;4500000
2020-06-17;Al Rayyan;Bu Hamour;Vacant Land;658;280.007;1983210
2020-06-17;Al Rayyan;Ain Khalid;Vacant Land;1;280.007;3420887
2020-06-17;Al Daayen;Rawdat Al Hamama;Vacant Land;1;314.669;4200000
2020-06-17;Al Khor and Al Dakhira;Al Khor;Vacant Land;616;233.764;1550000
2020-06-17;Al Rayyan;Izghawa;Vacant Land;779;357.775;3000000
2020-06-17;Al Rayyan;Bu Hamour;Vacant Land;695;280.007;2094728
2020-06-17;Al Rayyan;Bu Hamour;Vacant Land;722;280.007;2176106
2020-06-17;Al Rayyan;Bu Hamour;Vacant Land;845;280.007;2546828
2020-06-17;Al Rayyan;Ain Khalid;Vacant Land;1;280.007;3541446
2020-06-17;Al Rayyan;Muaither;Vacant Land;467;517.229;2600000
2020-06-17;Al Rayyan;Muaither;Residence;468;794.036;4000000
2020-06-17;Al Daayen;Al Sakhama;Residence;490;379.193;2000000
2020-06-17;Al Daayen;Al Ebb;Vacant Land;540;329.975;1918000
2020-06-17;Al Daayen;Umm Qarn;Vacant Land;382;243.2;1000000
2020-06-17;Al Daayen;Umm Qarn;Residence;1;295.996;4400000
2020-06-17;Al Wakrah;Al Wukair;Vacant Land;600;234.913;1517160
2020-06-17;Umm Slal;Umm Al Amad;Vacant Land;400;255.481;1100000
2020-06-17;Doha;New Slata;Residential Building;4;322.577;15500000
2020-06-17;Doha;Old Airport;Apartment Complex;8;449.02;40000000
2020-06-17;Al Rayyan;Izghawa;Vacant Land;901;371.197;3600000
2020-06-17;Al Rayyan;Izghawa;Vacant Land;929;308.008;3080003
2020-06-17;Al Rayyan;Izghawa;Vacant Land;1;339.335;4500000
2020-06-17;Al Rayyan;Al Gharrafa;Residence;585;444.66;2800000
2020-06-17;Al Rayyan;Bu Hamour;Vacant Land;552;280.007;1663726
2020-06-17;Al Rayyan;Bu Hamour;Vacant Land;668;280.007;2013350
2020-06-17;Al Rayyan;Ain Khalid;Vacant Land;1;280.007;3616796
2020-06-17;Al Shamal;Madinat Al Shamal;Vacant Land;740;207.147;1650000
2020-06-17;Al Daayen;Al Kheesa;Vacant Land;528;334.307;1900000
2020-06-17;Al Daayen;Umm Qarn;Vacant Land;483;192.504;1000833
2020-06-17;Al Daayen;Umm Qarn;Vacant Land;499;215;1154815
2020-06-17;Al Daayen;Umm Qarn;Vacant Land;500;214.883;1156500
2020-06-17;Al Wakrah;Al Wakrah;Vacant Land;556;267.345;1600000
2020-06-16;Doha;Al Messila;Residence;467;350.009;1759419
2020-06-16;Al Shamal;Aba Al Dalouf;Vacant Land;717;126.979;980000
2020-06-16;Al Daayen;Al Ebb;Vacant Land;540;440.011;2557591
2020-06-16;Al Daayen;Umm Qarn;Vacant Land;360;192.505;745963
2020-06-16;Al Daayen;Umm Qarn;Vacant Land;428;275.007;1266953
2020-06-16;Al Rayyan;Fereej Al Manaseer;Residence;900;268.384;2600000
2020-06-16;Al Rayyan;Muaither;Residential Building;7;1285.742;108738722
2020-06-16;Al Shamal;Al Ruwais;Residence;472;314.923;1600000
2020-06-16;Al Daayen;Umm Qarn;Residence;437;309.561;1456136
2020-06-16;Umm Slal;Umm Slal Muhammed;Vacant Land;531;349.914;2000000
2020-06-16;Doha;Al Thumama;Residence;645;397.064;2756728
2020-06-16;Doha;The Pearl;Residential Tower;5;3146.423;190000000
2020-06-16;Doha;Umm Ghuwailina;Vacant Land;219;1187.792;2800000
2020-06-16;Al Rayyan;Izghawa;Residence;490;425.065;2241944
2020-06-16;Al Shamal;Aba Al Dalouf;Vacant Land;1;120.132;1500000
2020-06-16;Al Daayen;Simaisma;Residence;427;413.382;1900000
2020-06-15;Umm Slal;Al Kharaitiyat;Residence;663;525.465;3750000
2020-06-15;Umm Slal;Al Kharaitiyat;Residence;900;397.064;3846595
2020-06-15;Umm Slal;Umm Slal Ali;Vacant Land;540;250;1453140
2020-06-15;Umm Slal;Jeryan Jenaihat;Residence;620;374.606;2500000
2020-06-15;Al Khor and Al Dakhira;Al Dakhira;Vacant Land;600;140.128;905000
2020-06-15;Al Rayyan;Gharrafat Al Rayyan;Vacant Land;418;355.607;1600000
2020-06-15;Al Daayen;Al Ebb;Vacant Land;540;335.48;1950000
2020-06-15;Umm Slal;Umm Slal Ali;Residence;616;392.12;2600000
2020-06-15;Umm Slal;Jeryan Jenaihat;Residence;588;394.993;2500000
2020-06-15;Al Khor and Al Dakhira;Al Khor;Residence;434;310.388;1450000
2020-06-15;Al Shamal;Al Ruwais;Vacant Land;647;129.948;905000
2020-06-15;Al Daayen;Simaisma;Vacant Land;762;231.646;1900000
2020-06-15;Doha;Al Thumama;Residence;500;836.12;4500000
2020-06-15;Doha;Nuaija;Residence;510;409.863;2250000
2020-06-15;Al Rayyan;Gharrafat Al Rayyan;Vacant Land;421;353.073;1600000
2020-06-15;Al Daayen;Al Ebb;Vacant Land;540;325;1889082
2020-06-15;Al Daayen;Jeryan Jenaihat;Residence;540;516.124;3000000
2020-06-14;Umm Slal;Umm Slal Muhammed;Residence;400;545.801;2350000
2020-06-14;Al Daayen;Al Ebb;Vacant Land;540;329.975;1918000
2020-06-14;Al Daayen;Al Ebb;Vacant Land;541;329.709;1920000
2020-06-14;Al Daayen;Al Ebb;Vacant Land;568;339.388;2075000
2020-06-14;Al Daayen;Al Ebb;Vacant Land;577;339.89;2111000
2020-06-14;Al Daayen;Umm Qarn;Residence;400;429.673;1850000
2020-06-14;Al Daayen;Jeryan Jenaihat;Residence;549;507.663;3000000
2020-06-14;Doha;Msheireb;Residential Building;2;2468.761;70633000
2020-06-14;Al Rayyan;Al Aziziya;Vacant Land;1;271.417;3500000
2020-06-14;Al Daayen;Al Ebb;Vacant Land;540;344.082;2000000
2020-06-14;Al Daayen;Al Ebb;Vacant Land;573;337.075;2079000
2020-06-14;Al Daayen;Al Ebb;Vacant Land;603;319.5;2073776
2020-06-14;Al Daayen;Al Ebb;Vacant Land;1;339.574;5300000
2020-06-14;Al Daayen;Jeryan Jenaihat;Residence;540;619.348;3600000
2020-06-14;Umm Slal;Umm Slal Ali;Residence;452;1027.68;5000000
2020-06-14;Umm Slal;Umm Ebairiya;Residence;400;510.962;2200000
2020-06-14;Doha;Al Thumama;Residence;427;592.877;2725000
2020-06-14;Al Rayyan;Luaib;Residence;561;314.642;1900000
2020-06-14;Al Daayen;Al Ebb;Vacant Land;600;339.867;2195000
2020-06-14;Al Rayyan;Muaither;Vacant Land;960;280.642;2900000
2020-06-11;Al Khor and Al Dakhira;Al Khor;Vacant Land;980;154.004;1624544
2020-06-11;Al Daayen;Al Ebb;Vacant Land;590;330.669;2100000
2020-06-11;Doha;Umm Ghuwailina;Residential Building;801;1400.524;12075266
2020-06-11;Doha;Al Thumama;Residence;459;506.004;2500000
2020-06-11;Doha;Al Mansoura;Vacant Land;429;1050;348761
2020-06-11;Al Rayyan;Umm Al Senaim;Apartment Complex;5;637.19;35000000
2020-06-11;Al Shamal;Aba Al Dalouf;Vacant Land;739;125.713;1000000
2020-06-11;Al Daayen;Al Ebb;Residence;612;455.403;3000000
2020-06-11;Al Daayen;Al Ebb;Vacant Land;1;308.008;3955267
2020-06-11;Al Daayen;Umm Qarn;Residence;430;367.288;1700000
2020-06-11;Doha;Al Thumama;Vacant Land;551;290;1719979
2020-06-11;Doha;Al Thumama;Residence;450;670.961;3250000
2020-06-11;Doha;Fereej Bin Omran;Residential Building;156;684.856;1150000
2020-06-11;Al Daayen;Umm Qarn;Vacant Land;564;192.505;1168675
2020-06-11;Doha;Al Thumama;Vacant Land;495;354.905;1891000
2020-06-11;Doha;Legtaifiya;Residential Building;2;590.942;19000000
2020-06-11;Al Rayyan;Mehairja;Residence;2;417.245;12800000
2020-06-10;Doha;New Slata;Apartment Complex;11;617.235;78517847
2020-06-10;Doha;Old Al Ghanim;Residential Building;964;2602.034;27000000
2020-06-10;Doha;Nuaija;Residential Building;1;617.235;10337940
2020-06-10;Al Wakrah;Al Mashaf;Residence;588;331.794;2100000
2020-06-10;Doha;New Slata;Residence;2;617.235;14384087
2020-06-10;Doha;Nuaija;Commercial Building;1;617.235;9879509
2020-06-10;Al Rayyan;Bu Hamour;Vacant Land;1;282.68;3700000
2020-06-10;Al Shamal;Aba Al Dalouf;Residence;600;263.223;1700000
2020-06-10;Al Daayen;Rawdat Al Hamama;Vacant Land;1;301.95;4033486
2020-06-10;Doha;New Slata;Residence;2;617.235;18981679
2020-06-10;Doha;Old Airport;Residential Building;4;2667.261;127560296
2020-06-10;Al Rayyan;Al Gharrafa;Vacant Land;875;228.274;2150000
2020-06-10;Al Rayyan;Gharrafat Al Rayyan;Residence;525;583.957;3300000
2020-06-10;Al Daayen;Umm Qarn;Residence;352;475.068;1800000
2020-06-09;Doha;Al Thumama;Vacant Land;568;278.053;1700000
2020-06-09;Al Rayyan;Al Maamoura;Vacant Land;517;449.237;2500000
2020-06-09;Al Shamal;Al Ruwais;Vacant Land;540;120.429;700000
2020-06-09;Al Shamal;Al Ruwais;Vacant Land;598;124.284;800000
2020-06-09;Al Daayen;Umm Qarn;Vacant Land;615;302.121;2000000
2020-06-09;Al Wakrah;Al Wukair;Vacant Land;694;194.104;1450000
2020-06-09;Umm Slal;Umm Slal Ali;Residence;425;469.976;2150000
2020-06-09;Doha;Al Thumama;Vacant Land;590;267.684;1700000
2020-06-09;Doha;Madinat Khalifa South;Residence;625;445.931;3000000
2020-06-09;Al Rayyan;Al Maamoura;Vacant Land;516;450.108;2500000
2020-06-09;Al Rayyan;Muaither;Multi-purpose Building;841;1104.664;10000000
2020-06-09;Al Daayen;Al Ebb;Vacant Land;540;318.276;1850000
2020-06-09;Al Daayen;Jeryan Jenaihat;Residence;575;549.335;3400000
2020-06-09;Al Wakrah;Muaither  Al Wukair;Vacant Land;1;210;2262700
2020-06-09;Doha;Al Thumama;Vacant Land;562;281.021;1700000
2020-06-09;Doha;Al Thumama;Vacant Land;563;280.522;1700000
2020-06-09;Doha;Al Thumama;Vacant Land;577;273.716;1700000
2020-06-09;Doha;Al Thumama;Vacant Land;289;273.716;850000
2020-06-09;Al Rayyan;Ain Khalid;Vacant Land;450;474.834;2300000
2020-06-09;Al Daayen;Al Ebb;Vacant Land;540;326.878;1900000
2020-06-09;Al Wakrah;Al Mashaf;Vacant Land;537;190.303;1100000
2020-06-08;Umm Slal;Al Kharaitiyat;Vacant Land;453;287.115;1400000
2020-06-08;Umm Slal;Al Kharaitiyat;Residence;452;287.75;1400000
2020-06-08;Doha;Al Thumama;Vacant Land;552;302.942;1800000
2020-06-08;Doha;Al Thumama;Vacant Land;554;301.849;1800000
2020-06-08;Doha;Al Thumama;Vacant Land;558;299.685;1800000
2020-06-08;Doha;Al Thumama;Vacant Land;571;292.862;1800000
2020-06-08;Doha;Al Thumama;Vacant Land;588;284.395;1800000
2020-06-08;Al Daayen;Umm Qarn;Vacant Land;490;234.91;1239000
2020-06-08;Al Daayen;Jeryan Jenaihat;Residence;600;387.093;2500000
2020-06-08;Al Wakrah;Al Wakrah;Vacant Land;649;257.378;1798000
2020-06-08;Al Wakrah;Al Wukair;Residence;480;483.866;2500000
2020-06-08;Doha;Old Al Ghanim;Residence;875;3185.221;30000000
2020-06-08;Doha;Al Messila;Vacant Land;3;500.012;16146390
2020-06-08;Umm Slal;Al Kharaitiyat;Vacant Land;451;288.388;1400000
2020-06-08;Umm Slal;Al Kharaitiyat;Residence;900;361.287;3500000
2020-06-08;Doha;Al Thumama;Residence;480;600.015;3100112
2020-06-08;Doha;Al Thumama;Vacant Land;547;305.711;1800000
2020-06-08;Doha;Al Thumama;Residence;450;412.899;2000000
2020-06-08;Doha;Legtaifiya;Residence;1;492.951;6500000
2020-06-08;Doha;Nuaija;Residence;1;341.167;3900000
2020-06-08;Al Shamal;Al Ruwais;Vacant Land;614;149.794;990000
2020-06-08;Al Daayen;Al Sakhama;Vacant Land;3076;205;6785000
2020-06-08;Al Wakrah;Al Wukair;Vacant Land;600;200.005;1291710
2020-06-08;Al Wakrah;Al Wukair;Vacant Land;654;240.069;1690000
2020-06-08;Doha;Al Thumama;Vacant Land;546;306.271;1800000
2020-06-08;Doha;Al Thumama;Vacant Land;548;305.153;1800000
2020-06-08;Doha;Al Thumama;Vacant Land;559;299.149;1800000
2020-06-08;Doha;Al Thumama;Vacant Land;563;297.023;1800000
2020-06-08;Doha;Al Thumama;Vacant Land;567;294.928;1800000
2020-06-08;Doha;Al Thumama;Vacant Land;568;294.409;1800000
2020-06-08;Doha;Al Thumama;Residence;450;371.609;1800000
2020-06-08;Al Rayyan;New Al Rayyan;Residence;748;245.048;1973000
2020-06-08;Al Rayyan;New Al Rayyan;Residence;420;486.631;2200000
2020-06-08;Al Rayyan;Bu Hamour;Vacant Land;450;392.254;1900000
2020-06-08;Al Rayyan;Gharrafat Al Rayyan;Residence;1;282.529;3400000
2020-06-08;Al Shamal;Al Ruwais;Vacant Land;360;149.676;580000
2020-06-08;Al Shamal;Madinat Al Shamal;Vacant Land;745;162.111;1300000
2020-06-08;Al Daayen;Leabaib;Residence;1110;386.563;4618674
2020-06-08;Al Wakrah;Al Wakrah;Vacant Land;551;303.155;1798000
2020-06-07;Al Daayen;Al Sakhama;Residential Building;6;205;13570000
2020-06-07;Al Daayen;Umm Qarn;Vacant Land;616;211.142;1400000
2020-06-07;Al Daayen;Umm Qarn;Residence;535;390.71;2250000
2020-06-07;Doha;Nuaija;Residence;911;428.309;4200000
2020-06-07;Al Shamal;Al Ruwais;Vacant Land;1;149.976;2746000
2020-06-07;Al Daayen;Al Sakhama;Residence;476;165.897;850000
2020-06-07;Al Wakrah;Al Wakrah;Vacant Land;985;282.951;3000000
2020-06-07;Al Daayen;Al Sakhama;Vacant Land;7;205;17000000
2020-06-07;Al Daayen;Jeryan Jenaihat;Vacant Land;1;325.158;4200000
2020-06-04;Doha;Onaiza;Residential Tower;4;6776.355;306569684
2020-06-04;Doha;Fereej Al Nasr;Residence;903;390.951;3800000
2020-06-04;Al Daayen;Jeryan Jenaihat;Vacant Land;540;326.853603991055;1900000
2020-06-04;Al Rayyan;Al Aziziya;Residence;606;397.063007818488;2590042
2020-06-04;Al Daayen;Jeryan Jenaihat;Residence;540;550.490280405987;3200000
2020-06-04;Al Khor and Al Dakhira;Al Khor;Residence;707;271.03048219682;2062813
2020-06-04;Al Rayyan;Gharrafat Al Rayyan;Vacant Land;662;399.997193376368;2850380
2020-06-04;Al Wakrah;Al Wukair;Vacant Land;818;181.714934696195;1600000
2020-06-04;Al Daayen;Al Kheesa;Vacant Land;547;203.804347826087;1200000
2020-06-04;Al Daayen;Jeryan Jenaihat;Vacant Land;600;309.645455952934;2000000
2020-06-04;Al Khor and Al Dakhira;Al Khor;Residence;384;387.0343492985;1600000
2020-06-04;Al Wakrah;Al Wukair;Vacant Land;750;200.004707048185;1614638
2020-06-04;Al Rayyan;New Al Rayyan;Residence;882;368.653886665262;3500000
2020-06-03;Doha;The Pearl;Residential Tower;7;6417.675;500000000
2020-06-03;Al Shamal;Aba Al Dalouf;Vacant Land;540;120.41974883881;700000
2020-06-03;Doha;Hamad International Airport;Residential Building;606;766.518473095202;5000000
2020-06-03;Al Wakrah;Al Wakrah;Residence;1295;430.416068866571;6000000
2020-06-03;Al Khor and Al Dakhira;Al Khor;Residence;375;396.333911320287;1600000
2020-06-03;Umm Slal;Umm Slal Ali;Vacant Land;450;249.793559042114;1210000
2020-06-03;Doha;The Pearl;Residential Tower;6;6858.28;500000000
2020-06-03;Doha;Umm Ghuwailina;Residential Building;169;1166.51538461538;2123058
2020-06-03;Doha;Umm Ghuwailina;Residential Building;211;1166.67341549296;2650682
2020-06-03;Doha;Fereej Al Aseeri;Residence;800;469.821876451463;4046106
2020-06-03;Al Daayen;Leabaib;Residence;480;387.071801819237;2000000
2020-06-03;Umm Slal;Umm Slal Ali;Residence;525;442.321302193914;2500000
2020-06-03;Al Rayyan;Gharrafat Al Rayyan;Residence;1118;397.036061487329;4778329
2020-06-03;Umm Slal;Al Kharaitiyat;Residence;489;397.033434650456;2089984
2020-06-03;Al Wakrah;Al Wukair;Residence;478;257.019626894675;1322623
2020-06-03;Al Rayyan;Al Aziziya;Vacant Land;420;279.999778809998;1265879
2020-06-03;Doha;Umm Ghuwailina;Residential Building;1;2179.901;34000000
2020-06-03;Doha;The Pearl;Residential Tower;7;6419.449;500000000
2020-06-03;Al Khor and Al Dakhira;Al Khor;Residence;600;278.680910357641;1800000
2020-06-03;Umm Slal;Umm Al Amad;Vacant Land;1444;244.467318579516;3800000
2020-06-03;Umm Slal;Al Kharaitiyat;Residence;493;397.038062935745;2107081
2020-06-03;Al Daayen;Umm Qarn;Vacant Land;499;209.791511541325;1127000
2020-06-02;Doha;Rawdat Al Khail;Residential Building;333;1673.64016736402;6000000
2020-06-02;Al Rayyan;Mebaireek;Vacant Land;1197;217.306946061312;2800000
2020-06-02;Al Shamal;Aba Al Dalouf;Vacant Land;540;120.41974883881;700000
2020-06-02;Al Khor and Al Dakhira;Al Khor;Residence;438;296.924708377519;1400000
2020-06-02;Umm Slal;Umm Slal Ali;Vacant Land;570;175.164602346806;1074810
2020-06-02;Al Rayyan;Al Mearad;Residence;1230;226.586102719033;3000000
2020-06-02;Al Daayen;Umm Qarn;Residence;416;401.965163019205;1800000
2020-06-02;Al Rayyan;Muaither;Residence;1116;327.051777241322;3928873
2020-06-02;Al Rayyan;Al Gharrafa;Residence;427;398.085708070481;1830000
2020-06-02;Doha;Fereej Bin Derhem;Residential Building;584;2067.75886750437;13000000
2020-06-02;Al Daayen;Umm Qarn;Residence;555;368.262470706394;2200000
2020-06-02;Al Daayen;Al Sakhama;Vacant Land;617;192.473351400181;1278408
2020-06-02;Umm Slal;Umm Slal Muhammed;Vacant Land;661;210.005340829234;1494188
2020-06-01;Al Rayyan;New Al Rayyan;Vacant Land;1408;268.84349432568;4074592
2020-06-01;Al Daayen;Umm Qarn;Residence;615;309.667673716012;2050000
2020-06-01;Al Rayyan;Gharrafat Al Rayyan;Residence;1118;253.427503115912;3050000
2020-06-01;Al Rayyan;Muraikh;Vacant Land;617;289.822342667871;1925000
2020-06-01;Al Shamal;Al Ruwais;Vacant Land;1500;115.502601263471;1864905
2020-06-01;Al Rayyan;Mehairja;Residence;465;519.376747902517;2600000
2020-06-01;Doha;New Slata;Residence;967;432.318186185032;4500000
2020-06-01;Al Wakrah;Al Wakrah;Vacant Land;685;271.22321670735;2000000
2020-06-01;Al Rayyan;Bu Hamour;Vacant Land;558;316.297652738472;1900000
2020-06-01;Umm Slal;Izghawa;Residence;427;652.599521427018;3000000
2020-06-01;Al Daayen;Umm Qarn;Residence;425;404.371584699454;1850000
2020-06-01;Umm Slal;Al Kharaitiyat;Residence;595;460.577673692428;2950000
2020-06-01;Al Daayen;Al Kheesa;Vacant Land;494;300.864986837157;1600000
2020-06-01;Al Daayen;Al Kheesa;Vacant Land;495;300.243948207919;1600000
2020-06-01;Doha;New Slata;Vacant Land;446;449.987086023745;2160388
2020-05-31;Al Daayen;Al Sakhama;Vacant Land;3;135;5382431
2020-05-31;Al Shamal;Aba Al Dalouf;Vacant Land;795;117.226571628885;1003225
2020-05-31;Doha;Al Thumama;Vacant Land;705;276.716299907761;2100000
2020-05-31;Umm Slal;Al Kharaitiyat;Residence;503;683.287165281625;3700000
2020-05-31;Umm Slal;Al Kharaitiyat;Residence;317;279.981538461538;955437
2020-05-31;Al Wakrah;Al Wukair;Vacant Land;750;219.992567818655;1776000
